"file","labels","pack","style","kind"
"alexs_mobs-block_banana_peel.png","vanilla-consistent,wildlife-expansion,realistic,biodiversity,naturalistic,exotic,ecological,immersive,biome-diversity,subtle-detail,vanilla","alexs_mobs","vanilla","block"
"alexs_mobs-block_banana_peel_bottom.png","vanilla-consistent,wildlife-expansion,realistic,biodiversity,naturalistic,exotic,ecological,immersive,biome-diversity,subtle-detail,vanilla","alexs_mobs","vanilla","block"
"alexs_mobs-block_banana_peel_top.png","vanilla-consistent,wildlife-expansion,realistic,biodiversity,naturalistic,exotic,ecological,immersive,biome-diversity,subtle-detail,vanilla","alexs_mobs","vanilla","block"
"alexs_mobs-block_banana_slug_slime_block.png","vanilla-consistent,wildlife-expansion,realistic,biodiversity,naturalistic,exotic,ecological,immersive,biome-diversity,subtle-detail,vanilla","alexs_mobs","vanilla","block"
"alexs_mobs-block_banana_slug_slime_block_bubble.png","vanilla-consistent,wildlife-expansion,realistic,biodiversity,naturalistic,exotic,ecological,immersive,biome-diversity,subtle-detail,vanilla","alexs_mobs","vanilla","block"
"alexs_mobs-block_banana_slug_slime_block_top.png","vanilla-consistent,wildlife-expansion,realistic,biodiversity,naturalistic,exotic,ecological,immersive,biome-diversity,subtle-detail,vanilla","alexs_mobs","vanilla","block"
"alexs_mobs-block_bird_feeder_empty.png","vanilla-consistent,wildlife-expansion,realistic,biodiversity,naturalistic,exotic,ecological,immersive,biome-diversity,subtle-detail,vanilla","alexs_mobs","vanilla","block"
"alexs_mobs-block_bird_feeder_filled.png","vanilla-consistent,wildlife-expansion,realistic,biodiversity,naturalistic,exotic,ecological,immersive,biome-diversity,subtle-detail,vanilla","alexs_mobs","vanilla","block"
"alexs_mobs-block_bird_feeder_sugar.png","vanilla-consistent,wildlife-expansion,realistic,biodiversity,naturalistic,exotic,ecological,immersive,biome-diversity,subtle-detail,vanilla","alexs_mobs","vanilla","block"
"alexs_mobs-block_bird_feeder_water.png","vanilla-consistent,wildlife-expansion,realistic,biodiversity,naturalistic,exotic,ecological,immersive,biome-diversity,subtle-detail,vanilla","alexs_mobs","vanilla","block"
"alexs_mobs-block_bison_carpet.png","vanilla-consistent,wildlife-expansion,realistic,biodiversity,naturalistic,exotic,ecological,immersive,biome-diversity,subtle-detail,vanilla","alexs_mobs","vanilla","block"
"alexs_mobs-block_bison_fur.png","vanilla-consistent,wildlife-expansion,realistic,biodiversity,naturalistic,exotic,ecological,immersive,biome-diversity,subtle-detail,vanilla","alexs_mobs","vanilla","block"
"alexs_mobs-block_bison_fur_extra.png","vanilla-consistent,wildlife-expansion,realistic,biodiversity,naturalistic,exotic,ecological,immersive,biome-diversity,subtle-detail,vanilla","alexs_mobs","vanilla","block"
"alexs_mobs-block_bison_fur_top.png","vanilla-consistent,wildlife-expansion,realistic,biodiversity,naturalistic,exotic,ecological,immersive,biome-diversity,subtle-detail,vanilla","alexs_mobs","vanilla","block"
"alexs_mobs-block_caiman_eggs.png","vanilla-consistent,wildlife-expansion,realistic,biodiversity,naturalistic,exotic,ecological,immersive,biome-diversity,subtle-detail,vanilla","alexs_mobs","vanilla","block"
